"plotn"	"TypePL"	"TCT"	"PLrr"	"MF"	"TypeMF"	"Aridity"	"RWC"	"Height"	"Shanon"	"alpha"	"Potential"	"SLO"	"Sand"	"Facil"	"HumanFootprint"	"Cow"	"Goat"	"Pig"	"prod"	"veg_type"	"ph"	"sr"	"lat"	"long"
"391"	"120"	1	17.79166667	0.585388155	-0.544640985	0	0.7727	0	1.943815913	3.33	2.154156981	0.290933981	5.75	2.937665117	"23.07692308"	4.0408	0.17554	2.27101	0.00553	5.159701018	1	8.373917821	13	33.06768	-2.728708
"392"	"120"	1	17.79166667	0.585388155	-0.544640985	0	0.7727	0	1.943815913	3.33	2.154156981	0.290933981	5.75	2.937665117	"23.07692308"	4.0408	0.17554	2.27101	0.00553	5.159701018	1	8.373917821	13	33.06768	-2.728708
"40"	"121"	0	28.45833333	0.311581182	-0.141514862	0	0.7293	1.439393939	1.936372976	3.68	2.987526253	0.417980097	20	2.726584903	"18.75"	14.60513	1.49297	8.373	0.00647	8.760400108	1	8.463831418	16	34.633215	-3.413628
"401"	"121"	0	28.45833333	0.311581182	-0.141514862	0	0.7293	1.439393939	1.936372976	3.68	2.987526253	0.417980097	20	2.726584903	"18.75"	14.60513	1.49297	8.373	0.00647	8.760400108	1	8.463831418	16	34.633215	-3.413628
"402"	"121"	0	28.45833333	0.311581182	-0.141514862	0	0.7293	1.439393939	1.936372976	3.68	2.987526253	0.417980097	20	2.726584903	"18.75"	14.60513	1.49297	8.373	0.00647	8.760400108	1	8.463831418	16	34.633215	-3.413628
"41"	"122"	0	11.20833333	0.513256735	0.595332359	1	0.6891	25.58194225	1.899552404	4.63	2.063082877	0.205421663	16.5	2.539097846	"27.27272727"	11.80623	1.17117	1.23141	0	8.534391516	1	8.30870425	11	34.625548	-3.464915
"412"	"122"	0	11.20833333	0.513256735	0.595332359	1	0.6891	25.58194225	1.899552404	4.63	2.063082877	0.205421663	16.5	2.539097846	"27.27272727"	11.80623	1.17117	1.23141	0	8.534391516	1	8.30870425	11	34.625548	-3.464915
"413"	"122"	0	11.20833333	0.513256735	0.595332359	1	0.6891	25.58194225	1.899552404	4.63	2.063082877	0.205421663	16.5	2.539097846	"27.27272727"	11.80623	1.17117	1.23141	0	8.534391516	1	8.30870425	11	34.625548	-3.464915
"42"	"123"	0	8.2	0.508436311	-0.467201524	0	0.7302	49.65834078	1.752140678	6.31	2.641954618	0.444610065	8.5	3.089280929	"25"	3.68132	3.21827	0.01307	0.88477	11.1875484	1	6.31744275	8	-16.189754	-71.35712
"421"	"123"	0	8.2	0.508436311	-0.467201524	0	0.7302	49.65834078	1.752140678	6.31	2.641954618	0.444610065	8.5	3.089280929	"25"	3.68132	3.21827	0.01307	0.88477	11.1875484	1	6.31744275	8	-16.189754	-71.35712
"422"	"123"	0	8.2	0.508436311	-0.467201524	0	0.7302	49.65834078	1.752140678	6.31	2.641954618	0.444610065	8.5	3.089280929	"25"	3.68132	3.21827	0.01307	0.88477	11.1875484	1	6.31744275	8	-16.189754	-71.35712
"43"	"124"	0	16.025	0.476140202	-0.235554623	0	0.7551	5.456852792	1.750809134	1.18	2.775333124	0.471611851	12	3.111031539	"25"	7.25443	2.95436	0.00108	0.83611	11.18711148	1	5.871109277	4	-16.215578	-71.359792
"431"	"124"	0	16.025	0.476140202	-0.235554623	0	0.7551	5.456852792	1.750809134	1.18	2.775333124	0.471611851	12	3.111031539	"25"	7.25443	2.95436	0.00108	0.83611	11.18711148	1	5.871109277	4	-16.215578	-71.359792
"432"	"124"	0	16.025	0.476140202	-0.235554623	0	0.7551	5.456852792	1.750809134	1.18	2.775333124	0.471611851	12	3.111031539	"25"	7.25443	2.95436	0.00108	0.83611	11.18711148	1	5.871109277	4	-16.215578	-71.359792
"44"	"125"	0	27.05	0.42026353	-0.271829441	0	0.7003	13.28719725	1.780137219	3.28	2.993479214	0.412808937	6	3.083956222	"28.57142857"	13.45366	4.26381	0.05404	0.9476	10.52979163	1	6.196487878	7	-16.210425	-71.433769
"441"	"125"	0	27.05	0.42026353	-0.271829441	0	0.7003	13.28719725	1.780137219	3.28	2.993479214	0.412808937	6	3.083956222	"28.57142857"	13.45366	4.26381	0.05404	0.9476	10.52979163	1	6.196487878	7	-16.210425	-71.433769
"442"	"125"	0	27.05	0.42026353	-0.271829441	0	0.7003	13.28719725	1.780137219	3.28	2.993479214	0.412808937	6	3.083956222	"28.57142857"	13.45366	4.26381	0.05404	0.9476	10.52979163	1	6.196487878	7	-16.210425	-71.433769
"45"	"126"	0	23.025	0.368962055	-0.654618615	0	0.7041	49.09201098	1.739374533	2.69	2.945650172	0.615594961	8.6	3.122898103	"33.33333333"	10.73301	4.22761	0.07205	0.67182	7.035610959	1	6.3346195	6	-16.175231	-71.440853
"451"	"126"	0	23.025	0.368962055	-0.654618615	0	0.7041	49.09201098	1.739374533	2.69	2.945650172	0.615594961	8.6	3.122898103	"33.33333333"	10.73301	4.22761	0.07205	0.67182	7.035610959	1	6.3346195	6	-16.175231	-71.440853
"452"	"126"	0	23.025	0.368962055	-0.654618615	0	0.7041	49.09201098	1.739374533	2.69	2.945650172	0.615594961	8.6	3.122898103	"33.33333333"	10.73301	4.22761	0.07205	0.67182	7.035610959	1	6.3346195	6	-16.175231	-71.440853
